# [DATA]
1.400000000000000133e-01	5.845900799999999372e-11	7.924294271428571770e-13
1.396885399999999999e-01	5.826021757142857150e-11	7.967928914285712635e-13
1.393770900000000090e-01	5.817042628571428875e-11	7.894856471428570895e-13
1.390656200000000009e-01	5.804024728571427867e-11	7.890110242857141662e-13
1.387541700000000100e-01	5.796881471428571810e-11	7.871838857142857921e-13
1.384427099999999966e-01	5.784622142857142811e-11	7.930474071428572139e-13
1.381312600000000057e-01	5.770599957142857222e-11	7.897595485714284890e-13
1.378197999999999923e-01	5.764712614285713986e-11	7.926888771428572037e-13
1.375083500000000014e-01	5.747158642857142685e-11	7.956877642857144530e-13
1.371968799999999933e-01	5.739430128571428694e-11	7.890927728571428915e-13
1.368854300000000024e-01	5.720714071428572192e-11	7.829838757142855821e-13
1.365739699999999890e-01	5.705146071428571869e-11	7.982107514285714296e-13
1.362625199999999981e-01	5.694705585714285920e-11	7.818901242857142788e-13
1.359510600000000125e-01	5.682241628571429316e-11	7.915901042857142562e-13
1.356395900000000043e-01	5.673723000000000622e-11	7.898118299999999296e-13
1.353281400000000134e-01	5.663490071428571708e-11	7.953071471428571168e-13
1.350166800000000000e-01	5.649000428571428979e-11	7.925628257142857288e-13
1.347052300000000091e-01	5.634029257142857128e-11	7.956950671428571493e-13
1.343937699999999957e-01	5.620773042857143296e-11	7.851173442857144283e-13
1.340823200000000048e-01	5.605860914285713859e-11	7.865746814285713770e-13
1.337708499999999967e-01	5.593914757142857602e-11	7.995205057142857452e-13
1.334594000000000058e-01	5.581458414285714418e-11	7.877766671428570323e-13
1.331479399999999924e-01	5.572493114285713464e-11	7.781631528571427122e-13
1.328364900000000015e-01	5.556866371428571548e-11	7.860645714285714702e-13
1.325250299999999881e-01	5.536623200000000120e-11	7.882399157142857597e-13
1.322135799999999972e-01	5.524984614285714667e-11	7.840469899999998744e-13
1.319021099999999891e-01	5.495905014285713976e-11	7.828399785714284395e-13
1.315906599999999982e-01	5.499100228571428301e-11	7.851234314285715048e-13
1.312792000000000125e-01	5.492710114285714025e-11	7.805228514285713309e-13
1.309677399999999992e-01	5.475185414285713140e-11	8.018156899999999660e-13
1.306562900000000083e-01	5.465453942857143545e-11	7.893947857142856529e-13
1.303448200000000001e-01	5.452770328571428737e-11	7.973001342857142966e-13
1.300333700000000092e-01	5.445160099999999042e-11	7.909068742857142161e-13
1.297219099999999958e-01	5.433245657142857838e-11	8.062984285714285373e-13
1.294104600000000049e-01	5.424845842857143424e-11	7.890408142857143184e-13
1.290989999999999915e-01	5.410387699999999492e-11	8.084298757142857545e-13
1.287875500000000006e-01	5.397490485714285457e-11	7.798396957142856281e-13
1.284760799999999925e-01	5.385106871428571930e-11	7.909594757142857001e-13
1.281646300000000016e-01	5.374219314285714136e-11	7.851248014285714474e-13
1.278531699999999882e-01	5.354824528571429059e-11	7.949964714285713990e-13
1.275417199999999973e-01	5.350769428571428208e-11	8.144561257142856351e-13
1.272302600000000117e-01	5.334162028571428873e-11	7.923254928571428838e-13
1.269187900000000035e-01	5.316226999999999901e-11	7.878813300000000723e-13
1.266073400000000126e-01	5.302963828571427864e-11	7.986394514285714155e-13
1.262958799999999993e-01	5.294868214285713925e-11	7.997604614285714727e-13
1.259844300000000084e-01	5.274407200000000180e-11	7.939103457142857606e-13
1.256729699999999950e-01	5.266223114285714609e-11	7.980342571428571746e-13
1.253615200000000041e-01	5.244794542857142608e-11	7.940136014285714368e-13
1.250500499999999959e-01	5.240535299999999592e-11	8.063663814285714087e-13
1.247386000000000050e-01	5.227247042857142778e-11	7.938350657142855816e-13
1.244271400000000194e-01	5.215706871428571460e-11	7.834688057142856552e-13
1.241156800000000199e-01	5.209335142857143265e-11	7.885501599999999786e-13
1.238042300000000012e-01	5.190489614285713435e-11	8.003451342857143104e-13
1.234927700000000017e-01	5.171471785714285601e-11	7.866737099999999195e-13
1.231813100000000161e-01	5.169582357142858004e-11	7.897076871428570485e-13
1.228698599999999974e-01	5.156372057142857082e-11	7.905039857142855772e-13
1.225583999999999979e-01	5.136611428571428263e-11	8.127542399999998882e-13
1.222469399999999984e-01	5.129178342857142594e-11	8.047721642857143653e-13
1.219354899999999936e-01	5.117939414285714563e-11	7.876781971428571789e-13
1.216240200000000132e-01	5.105014814285714422e-11	7.988803471428572010e-13
1.213125699999999946e-01	5.093935357142857003e-11	8.117541485714285092e-13
1.210011099999999951e-01	5.082161900000000275e-11	7.972348528571428236e-13
1.206896600000000042e-01	5.068014914285713729e-11	7.956341757142857064e-13
1.203782000000000185e-01	5.054755614285714248e-11	8.067177642857142556e-13
1.200667399999999913e-01	5.036804299999999761e-11	7.912614857142857383e-13
1.197552799999999917e-01	5.020338442857142643e-11	8.029719628571428858e-13
1.194438300000000008e-01	5.014670371428571583e-11	7.965624071428572247e-13
1.191323700000000152e-01	5.005317642857143483e-11	8.166001057142857808e-13
1.188209099999999879e-01	4.998566342857142343e-11	8.088114857142857998e-13
1.185094599999999970e-01	4.982635928571427997e-11	8.056506071428571091e-13
1.181979999999999975e-01	4.971403642857142503e-11	7.908417071428571236e-13
1.178865400000000119e-01	4.955100757142857372e-11	8.056316585714285882e-13
1.175750899999999932e-01	4.933268785714285147e-11	8.116431500000000644e-13
1.172636299999999937e-01	4.928380814285713986e-11	7.916500014285714770e-13
1.169521699999999942e-01	4.902991757142857599e-11	7.981240757142857723e-13
1.166407200000000033e-01	4.893757785714285034e-11	8.125186185714286145e-13
1.163292499999999813e-01	4.885301599999999424e-11	7.901848828571428256e-13
